link,price,year,mileage,title,fuel_type,gearbox,isPrivateSeller
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-line-f-vat-salon-polska-gwarancja-ID6H1ZdA.html,145 900,2021,40 000 km,Mercedes-Benz CLA,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-line-kamera-pamiec-ambiente-keyless-martwe-pole-fv23-ID6GpQuQ.html,219 900,2023,2 530 km,Mercedes-Benz CLA 200 mHEV AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-cla-na-gwarancji-producenta-do-2026-ID6GKhn9.html,109 500,2020,105 000 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-200-progressive-salon-polska-fv-23-ID6Ha7CM.html,149 900,2024,8 642 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-mb-motors-janki-ID6GqnZY.html,198 299,2023,5 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla200-amg-pakiet-fv23-ID6F2FdW.html,139 900,2021,83 867 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-advanced-plus-leasing-od-105-5-pakiet-kamer-360-ID6H2HS8.html,201 990,2024,5 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-advanced-plus-night-multibeam-led-ID6H2HS9.html,200 484,2024,5 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-advanced-plus-leasing-od-105-5-ID6H2HWb.html,211 608,2024,5 km,Mercedes-Benz CLA 220 4-Matic AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-premium-leasing-od-105-5-pakiet-kamer-360-ID6H2I2a.html,210 829,2024,5 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-dach-panoramiczny-multibeam-led-keyless-go-kola-19-ID6H38Tx.html,189 999,2024,4 000 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-polska-fv23-gwarancja-serwisowa-skora-89-430-netto-ID6H8kHJ.html,109 998,2022,149 993 km,Mercedes-Benz CLA 200 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6GKaGN.html,210 450,2024,10 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-1-3-163-km-salon-pl-1-wl-vat-23-kamera-360-ambiente-ID6H72Bo.html,147 598,2022,26 601 km,Mercedes-Benz CLA 200 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-fv23-gwarancja-serwisowa-73089-netto-ID6H6XVp.html,89 900,2021,189 843 km,Mercedes-Benz CLA,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla200-od-dealera-fv23-z-polskiego-salonu-amg-line-pakiet-night-ID6H1XI2.html,184 900,2024,24 800 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-dach-panoramiczny-aktywny-tempomat-distronic-keyless-entry-ID6H7vc5.html,199 900,2024,10 956 km,Mercedes-Benz CLA 200 Progressive 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-night-keyless-go-eq-boost-mbux-ID6GJCQG.html,169 900,2023,33 020 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-advanced-plus-night-multibeam-demo-salon-pl-fv23-ID6GrawE.html,189 700,2024,16 500 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-fv23-mbux-tempomat-kamera-360-led-ambiente-keyless-go-ID6GgcTf.html,189 900,2023,15 400 km,Mercedes-Benz CLA 200 d AMG Line 8G-DCT,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-200-coupe-163km-dostepny-od-reki-ID6H49Il.html,201 000,2024,1 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6H7ujl.html,169 887,2024,1 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-d-demo-emil-frey-select-ID6GE9Sn.html,204 900,2024,29 000 km,Mercedes-Benz CLA,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6Ha3L8.html,139 900,2022,29 480 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-200-salon-pl-bezwypadkowy-pierwszy-wlasciciel-ID6HbgNg.html,159 900,2023,37 288 km,Mercedes-Benz CLA 200 mHEV AMG Line 7G-DCT,Hybryda,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-200-shooting-brake-163km-dostepny-od-reki-ID6H5lt2.html,205 550,2024,1 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla220-4matic-190km-pakiet-amg-premium-fv23-aso-mercedes-benz-ID6GXXB7.html,224 900,2024,14 240 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla200d-shooting-brake-od-dealera-fv23-z-polskiego-salonu-ID6H12e9.html,179 900,2023,14 700 km,Mercedes-Benz CLA,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla200-od-dealera-fv23-z-polskiego-salonu-amg-line-pakiet-night-ID6H12gg.html,184 900,2024,16 600 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla200-od-dealera-fv23-z-polskiego-salonu-amg-line-pakiet-night-ID6H12fo.html,184 900,2024,20 300 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-200-d-2023-ID6GPv4z.html,189 900,2023,10 330 km,Mercedes-Benz CLA 200 d AMG Line 8G-DCT,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-cla-45s-ID6H5ip8.html,221 400,2021,72 000 km,Mercedes-Benz CLA AMG 45 S 4-Matic 8G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-line-panorama-fv-23-aso-gwarancja-polski-salon-od-dealera-ID6GTW8g.html,199 900,2024,13 500 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
